asset_id,rack_id,slot,server_id,component,vendor
AST-0001-DIMM,RACK-01,1,RACK-01-U1,dimm,HPE
AST-0001-DISK,RACK-01,1,RACK-01-U1,disk,HPE
AST-0001-PSU,RACK-01,1,RACK-01-U1,psu,HPE
AST-0001-NIC,RACK-01,1,RACK-01-U1,nic,HPE
AST-0002-DIMM,RACK-01,2,RACK-01-U2,dimm,HPE
AST-0002-DISK,RACK-01,2,RACK-01-U2,disk,HPE
AST-0002-PSU,RACK-01,2,RACK-01-U2,psu,HPE
AST-0002-NIC,RACK-01,2,RACK-01-U2,nic,HPE
AST-0003-DIMM,RACK-01,3,RACK-01-U3,dimm,HPE
AST-0003-DISK,RACK-01,3,RACK-01-U3,disk,HPE
AST-0003-PSU,RACK-01,3,RACK-01-U3,psu,HPE
AST-0003-NIC,RACK-01,3,RACK-01-U3,nic,HPE
AST-0004-DIMM,RACK-01,4,RACK-01-U4,dimm,HPE
AST-0004-DISK,RACK-01,4,RACK-01-U4,disk,HPE
AST-0004-PSU,RACK-01,4,RACK-01-U4,psu,HPE
AST-0004-NIC,RACK-01,4,RACK-01-U4,nic,HPE
AST-0005-DIMM,RACK-01,5,RACK-01-U5,dimm,HPE
AST-0005-DISK,RACK-01,5,RACK-01-U5,disk,HPE
AST-0005-PSU,RACK-01,5,RACK-01-U5,psu,HPE
AST-0005-NIC,RACK-01,5,RACK-01-U5,nic,HPE
AST-0006-DIMM,RACK-01,6,RACK-01-U6,dimm,HPE
AST-0006-DISK,RACK-01,6,RACK-01-U6,disk,HPE
AST-0006-PSU,RACK-01,6,RACK-01-U6,psu,HPE
AST-0006-NIC,RACK-01,6,RACK-01-U6,nic,HPE
AST-0007-DIMM,RACK-01,7,RACK-01-U7,dimm,HPE
AST-0007-DISK,RACK-01,7,RACK-01-U7,disk,HPE
AST-0007-PSU,RACK-01,7,RACK-01-U7,psu,HPE
AST-0007-NIC,RACK-01,7,RACK-01-U7,nic,HPE
AST-0008-DIMM,RACK-01,8,RACK-01-U8,dimm,HPE
AST-0008-DISK,RACK-01,8,RACK-01-U8,disk,HPE
AST-0008-PSU,RACK-01,8,RACK-01-U8,psu,HPE
AST-0008-NIC,RACK-01,8,RACK-01-U8,nic,HPE
AST-0009-DIMM,RACK-02,1,RACK-02-U1,dimm,Lenovo
AST-0009-DISK,RACK-02,1,RACK-02-U1,disk,Lenovo
AST-0009-PSU,RACK-02,1,RACK-02-U1,psu,Lenovo
AST-0009-NIC,RACK-02,1,RACK-02-U1,nic,Lenovo
AST-0010-DIMM,RACK-02,2,RACK-02-U2,dimm,Lenovo
AST-0010-DISK,RACK-02,2,RACK-02-U2,disk,Lenovo
AST-0010-PSU,RACK-02,2,RACK-02-U2,psu,Lenovo
AST-0010-NIC,RACK-02,2,RACK-02-U2,nic,Lenovo
AST-0011-DIMM,RACK-02,3,RACK-02-U3,dimm,Lenovo
AST-0011-DISK,RACK-02,3,RACK-02-U3,disk,Lenovo
AST-0011-PSU,RACK-02,3,RACK-02-U3,psu,Lenovo
AST-0011-NIC,RACK-02,3,RACK-02-U3,nic,Lenovo
AST-0012-DIMM,RACK-02,4,RACK-02-U4,dimm,Lenovo
AST-0012-DISK,RACK-02,4,RACK-02-U4,disk,Lenovo
AST-0012-PSU,RACK-02,4,RACK-02-U4,psu,Lenovo
AST-0012-NIC,RACK-02,4,RACK-02-U4,nic,Lenovo
AST-0013-DIMM,RACK-02,5,RACK-02-U5,dimm,Lenovo
AST-0013-DISK,RACK-02,5,RACK-02-U5,disk,Lenovo
AST-0013-PSU,RACK-02,5,RACK-02-U5,psu,Lenovo
AST-0013-NIC,RACK-02,5,RACK-02-U5,nic,Lenovo
AST-0014-DIMM,RACK-02,6,RACK-02-U6,dimm,Lenovo
AST-0014-DISK,RACK-02,6,RACK-02-U6,disk,Lenovo
AST-0014-PSU,RACK-02,6,RACK-02-U6,psu,Lenovo
AST-0014-NIC,RACK-02,6,RACK-02-U6,nic,Lenovo
AST-0015-DIMM,RACK-02,7,RACK-02-U7,dimm,Lenovo
AST-0015-DISK,RACK-02,7,RACK-02-U7,disk,Lenovo
AST-0015-PSU,RACK-02,7,RACK-02-U7,psu,Lenovo
AST-0015-NIC,RACK-02,7,RACK-02-U7,nic,Lenovo
AST-0016-DIMM,RACK-02,8,RACK-02-U8,dimm,Lenovo
AST-0016-DISK,RACK-02,8,RACK-02-U8,disk,Lenovo
AST-0016-PSU,RACK-02,8,RACK-02-U8,psu,Lenovo
AST-0016-NIC,RACK-02,8,RACK-02-U8,nic,Lenovo
AST-0017-DIMM,RACK-03,1,RACK-03-U1,dimm,Dell
AST-0017-DISK,RACK-03,1,RACK-03-U1,disk,Dell
AST-0017-PSU,RACK-03,1,RACK-03-U1,psu,Dell
AST-0017-NIC,RACK-03,1,RACK-03-U1,nic,Dell
AST-0018-DIMM,RACK-03,2,RACK-03-U2,dimm,Dell
AST-0018-DISK,RACK-03,2,RACK-03-U2,disk,Dell
AST-0018-PSU,RACK-03,2,RACK-03-U2,psu,Dell
AST-0018-NIC,RACK-03,2,RACK-03-U2,nic,Dell
AST-0019-DIMM,RACK-03,3,RACK-03-U3,dimm,Dell
AST-0019-DISK,RACK-03,3,RACK-03-U3,disk,Dell
AST-0019-PSU,RACK-03,3,RACK-03-U3,psu,Dell
AST-0019-NIC,RACK-03,3,RACK-03-U3,nic,Dell
AST-0020-DIMM,RACK-03,4,RACK-03-U4,dimm,Dell
AST-0020-DISK,RACK-03,4,RACK-03-U4,disk,Dell
AST-0020-PSU,RACK-03,4,RACK-03-U4,psu,Dell
AST-0020-NIC,RACK-03,4,RACK-03-U4,nic,Dell
AST-0021-DIMM,RACK-03,5,RACK-03-U5,dimm,Dell
AST-0021-DISK,RACK-03,5,RACK-03-U5,disk,Dell
AST-0021-PSU,RACK-03,5,RACK-03-U5,psu,Dell
AST-0021-NIC,RACK-03,5,RACK-03-U5,nic,Dell
AST-0022-DIMM,RACK-03,6,RACK-03-U6,dimm,Dell
AST-0022-DISK,RACK-03,6,RACK-03-U6,disk,Dell
AST-0022-PSU,RACK-03,6,RACK-03-U6,psu,Dell
AST-0022-NIC,RACK-03,6,RACK-03-U6,nic,Dell
AST-0023-DIMM,RACK-03,7,RACK-03-U7,dimm,Dell
AST-0023-DISK,RACK-03,7,RACK-03-U7,disk,Dell
AST-0023-PSU,RACK-03,7,RACK-03-U7,psu,Dell
AST-0023-NIC,RACK-03,7,RACK-03-U7,nic,Dell
AST-0024-DIMM,RACK-03,8,RACK-03-U8,dimm,Dell
AST-0024-DISK,RACK-03,8,RACK-03-U8,disk,Dell
AST-0024-PSU,RACK-03,8,RACK-03-U8,psu,Dell
AST-0024-NIC,RACK-03,8,RACK-03-U8,nic,Dell
AST-0025-DIMM,RACK-04,1,RACK-04-U1,dimm,HPE
AST-0025-DISK,RACK-04,1,RACK-04-U1,disk,HPE
AST-0025-PSU,RACK-04,1,RACK-04-U1,psu,HPE
AST-0025-NIC,RACK-04,1,RACK-04-U1,nic,HPE
AST-0026-DIMM,RACK-04,2,RACK-04-U2,dimm,HPE
AST-0026-DISK,RACK-04,2,RACK-04-U2,disk,HPE
AST-0026-PSU,RACK-04,2,RACK-04-U2,psu,HPE
AST-0026-NIC,RACK-04,2,RACK-04-U2,nic,HPE
AST-0027-DIMM,RACK-04,3,RACK-04-U3,dimm,HPE
AST-0027-DISK,RACK-04,3,RACK-04-U3,disk,HPE
AST-0027-PSU,RACK-04,3,RACK-04-U3,psu,HPE
AST-0027-NIC,RACK-04,3,RACK-04-U3,nic,HPE
AST-0028-DIMM,RACK-04,4,RACK-04-U4,dimm,HPE
AST-0028-DISK,RACK-04,4,RACK-04-U4,disk,HPE
AST-0028-PSU,RACK-04,4,RACK-04-U4,psu,HPE
AST-0028-NIC,RACK-04,4,RACK-04-U4,nic,HPE
AST-0029-DIMM,RACK-04,5,RACK-04-U5,dimm,HPE
AST-0029-DISK,RACK-04,5,RACK-04-U5,disk,HPE
AST-0029-PSU,RACK-04,5,RACK-04-U5,psu,HPE
AST-0029-NIC,RACK-04,5,RACK-04-U5,nic,HPE
AST-0030-DIMM,RACK-04,6,RACK-04-U6,dimm,HPE
AST-0030-DISK,RACK-04,6,RACK-04-U6,disk,HPE
AST-0030-PSU,RACK-04,6,RACK-04-U6,psu,HPE
AST-0030-NIC,RACK-04,6,RACK-04-U6,nic,HPE
AST-0031-DIMM,RACK-04,7,RACK-04-U7,dimm,HPE
AST-0031-DISK,RACK-04,7,RACK-04-U7,disk,HPE
AST-0031-PSU,RACK-04,7,RACK-04-U7,psu,HPE
AST-0031-NIC,RACK-04,7,RACK-04-U7,nic,HPE
AST-0032-DIMM,RACK-04,8,RACK-04-U8,dimm,HPE
AST-0032-DISK,RACK-04,8,RACK-04-U8,disk,HPE
AST-0032-PSU,RACK-04,8,RACK-04-U8,psu,HPE
AST-0032-NIC,RACK-04,8,RACK-04-U8,nic,HPE
AST-0033-DIMM,RACK-05,1,RACK-05-U1,dimm,Lenovo
AST-0033-DISK,RACK-05,1,RACK-05-U1,disk,Lenovo
AST-0033-PSU,RACK-05,1,RACK-05-U1,psu,Lenovo
AST-0033-NIC,RACK-05,1,RACK-05-U1,nic,Lenovo
AST-0034-DIMM,RACK-05,2,RACK-05-U2,dimm,Lenovo
AST-0034-DISK,RACK-05,2,RACK-05-U2,disk,Lenovo
AST-0034-PSU,RACK-05,2,RACK-05-U2,psu,Lenovo
AST-0034-NIC,RACK-05,2,RACK-05-U2,nic,Lenovo
AST-0035-DIMM,RACK-05,3,RACK-05-U3,dimm,Lenovo
AST-0035-DISK,RACK-05,3,RACK-05-U3,disk,Lenovo
AST-0035-PSU,RACK-05,3,RACK-05-U3,psu,Lenovo
AST-0035-NIC,RACK-05,3,RACK-05-U3,nic,Lenovo
AST-0036-DIMM,RACK-05,4,RACK-05-U4,dimm,Lenovo
AST-0036-DISK,RACK-05,4,RACK-05-U4,disk,Lenovo
AST-0036-PSU,RACK-05,4,RACK-05-U4,psu,Lenovo
AST-0036-NIC,RACK-05,4,RACK-05-U4,nic,Lenovo
AST-0037-DIMM,RACK-05,5,RACK-05-U5,dimm,Lenovo
AST-0037-DISK,RACK-05,5,RACK-05-U5,disk,Lenovo
AST-0037-PSU,RACK-05,5,RACK-05-U5,psu,Lenovo
AST-0037-NIC,RACK-05,5,RACK-05-U5,nic,Lenovo
AST-0038-DIMM,RACK-05,6,RACK-05-U6,dimm,Lenovo
AST-0038-DISK,RACK-05,6,RACK-05-U6,disk,Lenovo
AST-0038-PSU,RACK-05,6,RACK-05-U6,psu,Lenovo
AST-0038-NIC,RACK-05,6,RACK-05-U6,nic,Lenovo
AST-0039-DIMM,RACK-05,7,RACK-05-U7,dimm,Lenovo
AST-0039-DISK,RACK-05,7,RACK-05-U7,disk,Lenovo
AST-0039-PSU,RACK-05,7,RACK-05-U7,psu,Lenovo
AST-0039-NIC,RACK-05,7,RACK-05-U7,nic,Lenovo
AST-0040-DIMM,RACK-05,8,RACK-05-U8,dimm,Lenovo
AST-0040-DISK,RACK-05,8,RACK-05-U8,disk,Lenovo
AST-0040-PSU,RACK-05,8,RACK-05-U8,psu,Lenovo
AST-0040-NIC,RACK-05,8,RACK-05-U8,nic,Lenovo
AST-0041-DIMM,RACK-06,1,RACK-06-U1,dimm,Dell
AST-0041-DISK,RACK-06,1,RACK-06-U1,disk,Dell
AST-0041-PSU,RACK-06,1,RACK-06-U1,psu,Dell
AST-0041-NIC,RACK-06,1,RACK-06-U1,nic,Dell
AST-0042-DIMM,RACK-06,2,RACK-06-U2,dimm,Dell
AST-0042-DISK,RACK-06,2,RACK-06-U2,disk,Dell
AST-0042-PSU,RACK-06,2,RACK-06-U2,psu,Dell
AST-0042-NIC,RACK-06,2,RACK-06-U2,nic,Dell
AST-0043-DIMM,RACK-06,3,RACK-06-U3,dimm,Dell
AST-0043-DISK,RACK-06,3,RACK-06-U3,disk,Dell
AST-0043-PSU,RACK-06,3,RACK-06-U3,psu,Dell
AST-0043-NIC,RACK-06,3,RACK-06-U3,nic,Dell
AST-0044-DIMM,RACK-06,4,RACK-06-U4,dimm,Dell
AST-0044-DISK,RACK-06,4,RACK-06-U4,disk,Dell
AST-0044-PSU,RACK-06,4,RACK-06-U4,psu,Dell
AST-0044-NIC,RACK-06,4,RACK-06-U4,nic,Dell
AST-0045-DIMM,RACK-06,5,RACK-06-U5,dimm,Dell
AST-0045-DISK,RACK-06,5,RACK-06-U5,disk,Dell
AST-0045-PSU,RACK-06,5,RACK-06-U5,psu,Dell
AST-0045-NIC,RACK-06,5,RACK-06-U5,nic,Dell
AST-0046-DIMM,RACK-06,6,RACK-06-U6,dimm,Dell
AST-0046-DISK,RACK-06,6,RACK-06-U6,disk,Dell
AST-0046-PSU,RACK-06,6,RACK-06-U6,psu,Dell
AST-0046-NIC,RACK-06,6,RACK-06-U6,nic,Dell
AST-0047-DIMM,RACK-06,7,RACK-06-U7,dimm,Dell
AST-0047-DISK,RACK-06,7,RACK-06-U7,disk,Dell
AST-0047-PSU,RACK-06,7,RACK-06-U7,psu,Dell
AST-0047-NIC,RACK-06,7,RACK-06-U7,nic,Dell
AST-0048-DIMM,RACK-06,8,RACK-06-U8,dimm,Dell
AST-0048-DISK,RACK-06,8,RACK-06-U8,disk,Dell
AST-0048-PSU,RACK-06,8,RACK-06-U8,psu,Dell
AST-0048-NIC,RACK-06,8,RACK-06-U8,nic,Dell
AST-0049-DIMM,RACK-07,1,RACK-07-U1,dimm,HPE
AST-0049-DISK,RACK-07,1,RACK-07-U1,disk,HPE
AST-0049-PSU,RACK-07,1,RACK-07-U1,psu,HPE
AST-0049-NIC,RACK-07,1,RACK-07-U1,nic,HPE
AST-0050-DIMM,RACK-07,2,RACK-07-U2,dimm,HPE
AST-0050-DISK,RACK-07,2,RACK-07-U2,disk,HPE
AST-0050-PSU,RACK-07,2,RACK-07-U2,psu,HPE
AST-0050-NIC,RACK-07,2,RACK-07-U2,nic,HPE
AST-0051-DIMM,RACK-07,3,RACK-07-U3,dimm,HPE
AST-0051-DISK,RACK-07,3,RACK-07-U3,disk,HPE
AST-0051-PSU,RACK-07,3,RACK-07-U3,psu,HPE
AST-0051-NIC,RACK-07,3,RACK-07-U3,nic,HPE
AST-0052-DIMM,RACK-07,4,RACK-07-U4,dimm,HPE
AST-0052-DISK,RACK-07,4,RACK-07-U4,disk,HPE
AST-0052-PSU,RACK-07,4,RACK-07-U4,psu,HPE
AST-0052-NIC,RACK-07,4,RACK-07-U4,nic,HPE
AST-0053-DIMM,RACK-07,5,RACK-07-U5,dimm,HPE
AST-0053-DISK,RACK-07,5,RACK-07-U5,disk,HPE
AST-0053-PSU,RACK-07,5,RACK-07-U5,psu,HPE
AST-0053-NIC,RACK-07,5,RACK-07-U5,nic,HPE
AST-0054-DIMM,RACK-07,6,RACK-07-U6,dimm,HPE
AST-0054-DISK,RACK-07,6,RACK-07-U6,disk,HPE
AST-0054-PSU,RACK-07,6,RACK-07-U6,psu,HPE
AST-0054-NIC,RACK-07,6,RACK-07-U6,nic,HPE
