asset_id,component,failure_timestamp,degrade_window_start
AST-0002-NIC,nic,2026-09-09T18:00:00,2026-09-04T00:00:00
AST-0004-DIMM,dimm,2026-07-28T12:00:00,2026-07-24T00:00:00
AST-0005-PSU,psu,2026-07-02T18:00:00,2026-06-28T12:00:00
AST-0008-DISK,disk,2026-08-16T18:00:00,2026-08-09T12:00:00
AST-0009-PSU,psu,2026-08-13T06:00:00,2026-08-10T12:00:00
AST-0010-PSU,psu,2026-08-23T12:00:00,2026-08-17T12:00:00
AST-0011-DISK,disk,2026-07-11T00:00:00,2026-07-03T00:00:00
AST-0011-NIC,nic,2026-08-15T12:00:00,2026-08-07T18:00:00
AST-0014-DISK,disk,2026-07-18T18:00:00,2026-07-11T12:00:00
AST-0015-DISK,disk,2026-08-16T06:00:00,2026-08-13T00:00:00
AST-0017-PSU,psu,2026-07-23T06:00:00,2026-07-21T06:00:00
AST-0020-NIC,nic,2026-09-11T06:00:00,2026-09-05T00:00:00
AST-0023-DISK,disk,2026-07-14T06:00:00,2026-07-08T00:00:00
AST-0026-PSU,psu,2026-08-01T00:00:00,2026-07-26T06:00:00
AST-0030-NIC,nic,2026-08-19T18:00:00,2026-08-17T18:00:00
AST-0032-PSU,psu,2026-08-13T06:00:00,2026-08-09T06:00:00
AST-0034-DISK,disk,2026-08-13T12:00:00,2026-08-04T12:00:00
AST-0034-PSU,psu,2026-08-30T18:00:00,2026-08-25T18:00:00
AST-0035-DISK,disk,2026-07-12T12:00:00,2026-07-06T12:00:00
AST-0036-DISK,disk,2026-09-08T00:00:00,2026-09-03T06:00:00
AST-0036-NIC,nic,2026-07-16T06:00:00,2026-07-11T00:00:00
AST-0042-PSU,psu,2026-07-15T12:00:00,2026-07-08T06:00:00
AST-0046-NIC,nic,2026-07-11T18:00:00,2026-07-07T06:00:00
AST-0047-DISK,disk,2026-08-05T12:00:00,2026-07-29T18:00:00
AST-0048-DISK,disk,2026-08-06T12:00:00,2026-07-28T00:00:00
AST-0048-PSU,psu,2026-07-31T18:00:00,2026-07-29T00:00:00
AST-0048-NIC,nic,2026-07-01T00:00:00,2026-06-28T06:00:00
AST-0051-DISK,disk,2026-07-03T18:00:00,2026-06-29T12:00:00
